"File","Rules","Anchors","FuenteLine"
"docs\01_Agua\01_Agua.md","0","0","0"
"docs\01_Agua\Agua_Parte1_DEEP\00_INDEX.md","0","0","0"
"docs\01_Agua\Agua_Parte1_DEEP\00_Indice_Agua_Parte1.md","0","0","0"
"docs\01_Agua\Agua_Parte1_DEEP\10_Naturaleza_Quimica_del_Agua.md","0","0","0"
"docs\01_Agua\Agua_Parte1_DEEP\15_Cloro_y_Cloraminas.md","0","0","0"
"docs\01_Agua\Agua_Parte1_DEEP\20_pH_vs_Alcalinidad.md","12","12","12"
"docs\01_Agua\Agua_Parte1_DEEP\30_Sistema_Tampon_Carbonato.md","0","0","0"
"docs\01_Agua\Agua_Parte1_DEEP\40_Rol_del_Calcio.md","0","0","0"
"docs\01_Agua\Agua_Parte1_DEEP\90_TP_Log_Ajuste_Agua.md","0","0","0"
"docs\01_Agua\Agua_Parte2_DEEP\00_INDEX.md","0","0","0"
"docs\01_Agua\Agua_Parte2_DEEP\00_Indice_Agua_Parte2.md","0","0","0"
"docs\01_Agua\Agua_Parte2_DEEP\50_pH_en_el_Mash.md","0","0","0"
"docs\01_Agua\Agua_Parte2_DEEP\60_Sensibilidad_PH_y_Sulfatos.md","0","0","0"
"docs\01_Agua\Agua_Parte2_DEEP\70_Perfiles_Agua_para_IPA.md","0","0","0"
"docs\01_Agua\Agua_Parte2_DEEP\80_Manejo_Ajustes_En_Plantas.md","0","0","0"
"docs\01_Agua\Agua_Parte3_DEEP\00_INDEX.md","0","0","0"
"docs\01_Agua\Agua_Parte3_DEEP\00_Indice_Agua_Parte3.md","0","0","0"
"docs\01_Agua\Agua_Parte3_DEEP\100_Variabilidad_Estacional_y_Control.md","0","0","0"
"docs\01_Agua\Agua_Parte3_DEEP\110_Playbook_Control_Fuente.md","0","0","0"
"docs\01_Agua\Agua_Parte3_DEEP\90_Tipos_de_Fuentes_de_Agua.md","0","0","0"
"docs\01_Agua\Agua_Parte4_DEEP\00_INDEX.md","0","0","0"
"docs\01_Agua\Agua_Parte4_DEEP\00_Indice_Agua_Parte4.md","0","0","0"
"docs\01_Agua\Agua_Parte4_DEEP\120_Lectura_Cervecera_Informe_Agua.md","0","0","0"
"docs\01_Agua\Agua_Parte4_DEEP\130_Alcalinidad_Com_CaCO3_y_mEq.md","0","0","0"
"docs\01_Agua\Agua_Parte4_DEEP\140_RA_Alcalinidad_Efectiva.md","0","0","0"
"docs\01_Agua\Agua_Parte4_DEEP\150_Desinfectantes_Cloro_Cloramina.md","12","12","12"
"docs\01_Agua\Agua_Parte5_DEEP\00_INDEX.md","0","0","0"
"docs\01_Agua\Agua_Parte5_DEEP\00_Indice_Agua_Parte5.md","0","0","0"
"docs\01_Agua\Agua_Parte5_DEEP\160_Diseño_Agua_para_Mash.md","0","0","0"
"docs\01_Agua\Agua_Parte5_DEEP\170_pH_Objetivo_y_Tipo_de_Malta.md","0","0","0"
"docs\01_Agua\Agua_Parte5_DEEP\180_Interaccion_Alcalinidad_Calcio.md","0","0","0"
"docs\01_Agua\Agua_Parte5_DEEP\190_Estrategias_Ajuste_Mash.md","0","0","0"
"docs\01_Agua\Agua_Parte5_DEEP\195_Checklist_Diseño_Mash.md","0","0","0"
"docs\01_Agua\Agua_Parte6_DEEP\00_INDEX.md","0","0","0"
"docs\01_Agua\Agua_Parte6_DEEP\00_Indice_Agua_Parte6.md","0","0","0"
"docs\01_Agua\Agua_Parte6_DEEP\200_Agua_de_Lavado_Sparge.md","0","0","0"
"docs\01_Agua\Agua_Parte6_DEEP\210_pH_Critico_y_Taninos.md","0","0","0"
"docs\01_Agua\Agua_Parte6_DEEP\220_Diseño_Agua_Sparge.md","0","0","0"
"docs\01_Agua\Agua_Parte6_DEEP\230_Temperatura_y_Control_Extraccion.md","0","0","0"
"docs\01_Agua\Agua_Parte6_DEEP\240_Checklist_Sparge.md","0","0","0"
"docs\01_Agua\Agua_Parte7_DEEP\00_INDEX.md","0","0","0"
"docs\01_Agua\Agua_Parte7_DEEP\00_Indice_Agua_Parte7.md","0","0","0"
"docs\01_Agua\Agua_Parte7_DEEP\300_Caso_NEIPA.md","0","0","0"
"docs\01_Agua\Agua_Parte7_DEEP\310_Caso_West_Coast_IPA.md","0","0","0"
"docs\01_Agua\Agua_Parte7_DEEP\320_Caso_Lager_Clara.md","0","0","0"
"docs\01_Agua\Agua_Parte7_DEEP\330_Caso_Malt_Forward.md","0","0","0"
"docs\01_Agua\Agua_Parte7_DEEP\340_Checklist_Casos_Completos.md","0","0","0"
"docs\01_Agua\DEEP\AGUA_CALCULOS_Y_LIMITES.md","0","0","0"
